animal_name,species,class_type,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize
aardvark,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
antelope,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
bass,Fish,4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
bear,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1
boar,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
buffalo,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
calf,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
carp,Fish,4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
catfish,Fish,4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
cavy,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0
cheetah,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
chicken,Bird,2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
chub,Fish,4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
clam,Invertebrate,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
crab,Invertebrate,7,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0
crayfish,Invertebrate,7,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0
crow,Bird,2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
deer,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
dogfish,Fish,4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1
dolphin,Mammal,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1
dove,Bird,2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0
duck,Bird,2,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0
elephant,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
flamingo,Bird,2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1
flea,Bug,6,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0
frog,Amphibian,5,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0
frog,Amphibian,5,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0
fruitbat,Mammal,1,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0
giraffe,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1
girl,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1
gnat,Bug,6,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
goat,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1
gorilla,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1
gull,Bird,2,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0
haddock,Fish,4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0
hamster,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0
hare,Mammal,1,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0
hawk,Bird,2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0
herring,Fish,4,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0
honeybee,Bug,6,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0
housefly,Bug,6,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0
kiwi,Bird,2,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0
ladybird,Bug,6,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0
lark,Bird,2,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0
leopard,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
lion,Mammal,1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1
